Amtrak Station Location,Amtrak Station Code
"St. Catharines, ON",SCA
"St. Cloud, MN",SCD
"St. George, UT",STG
"St. Ignace, MI",STI
"St. Joseph, MI",SJM
"St. Lambert, QC",SLQ
"St. Louis, MO",STL
"St. Paul - Minneapolis, MN",MSP
"St. Petersburg - Clearwater, FL",STP
"Stamford, CT",STM
"Stanley, ND",STN
"Stanley - Bus Stop, WI",SNY
"Stanwood, WA",STW
"Staples, MN",SPL
"Stateline - Transit Center, CA",SLH
"Stateline - Kingsbury Bus Stop, NV",SLN
"Staunton, VA",STA
"Stevens Pass, WA",SSW
"Stevens Point - Bus Stop, WI",SVP
"Stevens Point - Univ. of WI Bus Stop, WI",SVU
"Stockton, CA",SKN
"Stockton - ACE Station, CA",SKT
"Sturtevant, WI",SVT
"Suisun-Fairfield, CA",SUI
"Summit, IL",SMT
"Sun City - Bus Stop, CA",SUT
"Sunriver, OR",SUN
"Surf, CA",LPS
"Surrey, BC",SUY
"Syracuse, NY",SYR
"Tacoma, WA",TAC
"Tampa, FL",TPA
"Tawas City - Bus Stop, MI",TWC
"Taylor, TX",TAY
"Tehachapi, CA",TEH
"Temple, TX",TPL
"Texarkana, AR",TXA
"The Dalles, OR",THD
"Thomasville - Bus Stop, AL",THM
"Thurmond, WV",THN
"Ticonderoga, NY",FTC
"Tilton, NH",TLT
"Toccoa, GA",TCA
"Toledo, OH",TOL
"Toledo, OR",TDO
"Tomah, WI",TOH
"Topeka, KS",TOP
"Toronto - Bus Station, ON",TCT
"Toronto - Union Station, ON",TWO
"Torrance - Bus Stop, CA",TOA
"Tracy - Bus Stop, CA",TRA
"Tracy - ACE Station, CA",TRC
"Traverse City, MI",TRV
"Trenton, NJ",TRE
"Trinidad, CO",TRI
"Trotwood - Dayton - Bus Station, OH",DAT
"Troy, MI",TRM
"Truckee, CA",TRU
"Tucson, AZ",TUS
"Tukwila, WA",TUK
"Turlock-Denair, CA",TRK
"Tusayan, AZ",TSY
"Tuscaloosa, AL",TCL
"Twin Falls, ID",TFI
"Tyler - Bus Station, TX",TYL
"Tyrone, PA",TYR
"Urbana, IL",CHM
"Ukiah, CA",UKH
"Utica, NY",UCA
"Villages Bus Stop, FL",TVF
"Vail, CO",VAI
"Vale, OR",VAE
"Vallejo - City Stop, CA",VAL
"Vallejo - Marine World Bus Stop, CA",VMW
"Van Nuys, CA",VNC
"Vancouver - Pacific Central Station Canada, BC",VAC
"Vancouver - USA, WA",VAN
"Ventura, CA",VEC
"Vicksburg - Bus Station, MS",VKS
"Victoria, BC",VBC
"Victoria - Harbour Ferry Pier, BC",VIF
"Victorville - Bus Stop, CA",VRB
"Victorville, CA",VRV
"Vienna - Bus Stop, IL",VNA
"Virginia Beach, VA",VAB
"Visalia, CA",VIS
"White Salmon, WA",BNG
"Westwood - Route 128, MA",RTE
"Whiting, IN",HMI
"Waco - Bus Stop, TX",WCX
"Waldo, FL",WDO
"Waldoboro, ME",WDR
"Walla Walla - Bus Stop, WA",WWA
"Wallingford, CT",WFD
"Walnut Ridge, AR",WNR
"Warrensburg, MO",WAR
"Warrenton, OR",WNT
"Wasco, CA",WAC
"Washington - Union Station, DC",WAS
"Washington, MO",WAH
"Waterbury-Stowe, VT",WAB
"Waterloo, IN",WTI
"Waupaca - Bus Stop, WI",WAU
"Waupun - Bus Stop, WI",WPN
"Wausau - Transit Center, WI",WSJ
"Wausau - Bus Stop, WI",WSU
"Wells, ME",WEM
"Wenatchee, WA",WEN
"West Glacier, MT",WGL
"West Palm Beach, FL",WPB
"Westbank - Bus Station, BC",WEB
"Westchester - Bus Stop, CA",WCH
"Westerly, RI",WLY
"Westfield - Bus Stop, WI",WSF
"Westport, NY",WSP
"Whistler Village - Bus Stop, BC",WSL
"White City, OR",WCT
"White Haven - Bus Stop, PA",WHV
"White River Junction, VT",WRJ
"White Sulphur Springs, WV",WSS
"Whitefish, MT",WFH
"Whitehall, NY",WHL
"Wildwood, FL",WWD
"Wilkes-Barre - Bus Station, PA",WKB
"Williams, AZ",WMA
"Williams Junction, AZ",WMJ
"Williamsburg, VA",WBG
"Williston, ND",WTN
"Willits, CA",WTS
"Wilmington, DE",WIL
"Wilmington - Bus Station, NC",WMN
"Wilson, NC",WLN
"Windsor, CT",WND
"Windsor - Bus Station, ON",WNO
"Windsor, VT",WNM
"Windsor Locks, CT",WNL
"Winnemucca, NV",WNN
"Winona, MN",WIN
"Winslow, AZ",WLO
"Winston-Salem - State University, NC",UWS
"Winston-Salem - City Transfer Ctr., NC",WNS
"Winter Haven, FL",WTH
"Winter Park, FL",WPK
"Wiscasset, ME",WST
"Wisconsin Dells, WI",WDL
"Wisconsin Rapids - Bus Stop, WI",WIR
"Wishram, WA",WIH
"Wittenberg - Bus Stop, WI",WIT
"Woburn, MA",WOB
"Wolf Point, MT",WPT
"Woodbridge, VA",WDB
"Woodburn - Bus Station, OR",WBN
"Worcester, MA",WOR
"Yosemite - Yosemite View Lodge Bus Stop, CA",EPL
"Yosemite - Tenaya Lodge Bus Stop, CA",FSH
"Yazoo City, MS",YAZ
"Yemassee, SC",YEM
"Yonkers, NY",YNY
"Yosemite - Ahwahnee Hotel Bus Stop, CA",YOA
"Yosemite - Curry Village Bus Stop, CA",YOC
"Yosemite - Crane Flat Bus Stop, CA",YOF
"Yosemite - Wawona Hotel Bus Stop, CA",YOH
"Yosemite - Lodge Bus Stop, CA",YOS
"Yosemite - Tuolumne Meadow Bus Stop, CA",YOT
"Yosemite - Visitor Center Bus Stop, CA",YOV
"Yosemite - White Wolf Bus Stop, CA",YOW
"Yuma, AZ",YUM
